year,player_id,player_name,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,max_rank
2013,200033,Serena Williams,5.666666666666667,1.3333333333333333,56.333333333333336,32.666666666666664,26.0,13.333333333333334,8.666666666666666,0.3333333333333333,4.666666666666667,1.0
2013,201347,Jelena Jankovic,0.6666666666666666,4.0,75.66666666666667,45.0,27.33333333333333,13.0,10.666666666666666,4.333333333333333,12.333333333333334,8.0
2013,201419,Na Li,3.6666666666666665,3.333333333333333,69.33333333333333,44.66666666666666,29.666666666666668,11.333333333333334,10.666666666666666,3.0,7.0,3.0
2013,201458,Victoria Azarenka,3.0,5.666666666666667,65.0,37.66666666666666,22.0,10.333333333333334,9.0,4.666666666666667,12.666666666666666,1.0
2013,201474,Agnieszka Radwanska,1.0,1.3333333333333333,48.333333333333336,33.666666666666664,19.33333333333333,7.0,9.0,3.6666666666666665,5.333333333333333,4.0
2013,201493,Angelique Kerber,2.6666666666666665,3.6666666666666665,60.66666666666666,39.0,27.0,8.666666666666666,10.333333333333334,3.333333333333333,5.0,5.0
2013,201506,Sara Errani,0.0,2.333333333333333,77.66666666666667,58.0,31.0,7.0,10.0,5.0,11.666666666666666,5.0
2013,201520,Petra Kvitova,3.333333333333333,2.333333333333333,68.33333333333333,49.0,32.333333333333336,10.666666666666666,10.666666666666666,2.0,7.0,6.0
2015,200002,Mirjana Lucic,3.217391304347826,7.130434782608695,68.04347826086956,40.391304347826086,25.47826086956522,13.391304347826088,11.043478260869565,4.739130434782608,9.347826086956522,47.0
2015,200009,Tamarine Tanasugarn,0.0,4.0,58.0,39.0,20.0,7.0,9.0,4.0,8.0,236.0
2015,200033,Serena Williams,9.166666666666666,3.6666666666666665,63.88095238095238,37.90476190476191,28.452380952380956,13.88095238095238,10.452380952380953,3.452380952380953,5.4523809523809526,1.0
2015,200043,Virginie Razzano,1.0,4.666666666666667,51.66666666666666,38.333333333333336,23.33333333333333,7.0,9.0,4.0,7.166666666666667,151.0
2015,200617,Kimiko Date Krumm,1.0,5.4,79.2,51.4,27.4,13.0,12.0,4.2,10.2,101.0
2015,200748,Venus Williams,4.56,3.04,67.12,39.04,26.56,13.48,10.88,3.16,6.8,7.0
2015,201212,Francesca Schiavone,2.263157894736842,3.8947368421052633,67.42105263157895,38.36842105263158,23.894736842105264,14.31578947368421,10.526315789473683,4.789473684210527,9.105263157894736,69.0
2015,201290,Daniela Hantuchova,1.92,4.4,70.04,46.56,28.52,11.92,11.08,4.32,8.56,45.0
2015,201311,Roberta Vinci,2.1515151515151514,1.696969696969697,69.48484848484848,43.39393939393939,27.0,12.515151515151516,10.393939393939394,4.787878787878788,8.818181818181818,15.0
2015,201318,Bethanie Mattek Sands,1.6470588235294117,3.5294117647058822,78.6470588235294,49.294117647058826,30.47058823529412,15.235294117647058,11.941176470588236,5.294117647058823,9.352941176470589,60.0
2015,201320,Svetlana Kuznetsova,3.16,3.4,72.8,48.16,31.0,13.08,11.36,3.64,7.0,18.0
2015,201325,Samantha Stosur,4.648648648648648,3.2432432432432434,63.37837837837838,38.91891891891892,26.54054054054054,14.72972972972973,10.324324324324325,3.675675675675676,5.945945945945946,18.0
2015,201329,Vera Zvonareva,2.0,5.166666666666667,63.16666666666666,39.5,24.25,10.416666666666666,10.0,4.833333333333333,9.083333333333334,134.0
2015,201339,Renata Voracova,1.0,7.5,74.0,56.0,27.0,9.0,11.5,7.5,15.5,166.0
2015,201344,Klara Koukalova,0.7142857142857143,5.642857142857143,60.5,33.75,20.892857142857142,12.428571428571429,9.75,4.178571428571429,8.678571428571429,39.0
2015,201345,Maria Sharapova,4.111111111111111,5.037037037037037,62.7037037037037,38.81481481481482,27.666666666666668,13.51851851851852,10.25925925925926,3.4444444444444446,5.592592592592593,2.0
2015,201347,Jelena Jankovic,2.7777777777777777,4.305555555555555,64.38888888888889,41.02777777777778,26.30555555555556,12.5,10.305555555555555,3.7222222222222223,7.111111111111111,15.0
2015,201348,Casey Dellacqua,2.0,3.111111111111111,70.38888888888889,43.888888888888886,26.666666666666668,13.77777777777778,10.666666666666666,3.7777777777777777,7.5,29.0
2015,201355,Flavia Pennetta,2.4,4.033333333333333,73.0,43.23333333333333,27.9,14.666666666666666,11.033333333333331,5.8,9.7,6.0
2015,201365,Edina Gallovits Hall,1.0,7.0,99.0,70.0,38.0,15.0,15.0,8.0,16.0,281.0
2015,201366,Barbora Strycova,1.8333333333333333,2.888888888888889,66.86111111111111,42.083333333333336,26.77777777777778,11.583333333333334,10.11111111111111,4.416666666666667,7.888888888888889,20.0
2015,201370,Anastasia Rodionova,1.0,4.0,67.0,38.0,26.0,13.0,10.0,2.0,6.0,163.0
2015,201377,Yuliya Beygelzimer,0.6666666666666666,3.0,68.33333333333333,42.833333333333336,21.5,10.0,9.833333333333334,4.5,10.5,149.0
2015,201387,Sofia Arvidsson,1.0,2.0,54.0,37.0,17.0,8.0,8.0,6.0,11.0,253.0
2015,201397,Shuai Peng,3.1,3.0,61.7,38.1,23.5,10.7,9.5,3.6,7.0,19.0
2015,201400,Nicole Vaidisova,6.333333333333333,2.333333333333333,73.66666666666667,47.0,28.33333333333333,11.333333333333334,10.666666666666666,4.0,9.0,231.0
2015,201402,Sesil Karatantcheva,1.7333333333333334,6.266666666666667,59.66666666666666,41.0,24.6,8.466666666666667,9.466666666666669,4.6,9.266666666666667,94.0
2015,201414,Michaella Krajicek,18.5,2.5,82.5,56.0,42.0,12.5,13.0,4.0,6.5,175.0
